No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
83;Telur Ayam;31/12/2018;Jawa Barat;Kota Cirebon;Pasar Kanoman;26000
84;Telur Ayam;31/12/2018;Jawa Barat;Kota Cirebon;Pasar Kramat;27000
85;Telur Ayam;31/12/2018;Jawa Barat;Kota Sukabumi;Pasar Gudang;26000
86;Telur Ayam;31/12/2018;Jawa Barat;Kota Sukabumi;Pasar Pelita;26500
87;Telur Ayam;31/12/2018;Jawa Barat;Kab. Cirebon;Pasar Weru;26000
88;Telur Ayam;31/12/2018;Jawa Barat;Kab. Cirebon;Pasar Mundu;27000
89;Telur Ayam;31/12/2018;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;25250
90;Telur Ayam;31/12/2018;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;25500
91;Telur Ayam;01/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;-
92;Telur Ayam;01/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;-
93;Telur Ayam;01/01/2019;Jawa Barat;Kota Depok;Pasar Agung;-
94;Telur Ayam;01/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;-
95;Telur Ayam;01/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;-
96;Telur Ayam;01/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;-
97;Telur Ayam;01/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;-
98;Telur Ayam;01/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;-
99;Telur Ayam;01/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;-
100;Telur Ayam;01/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;-
101;Telur Ayam;01/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;-
102;Telur Ayam;01/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;-
103;Telur Ayam;01/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;-
104;Telur Ayam;01/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;-
105;Telur Ayam;01/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;-
106;Telur Ayam;01/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;-
107;Telur Ayam;01/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;-
108;Telur Ayam;01/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;-
109;Telur Ayam;02/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;26500
