No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
10775;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kota Cirebon;Pasar Kanoman;90000
10776;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kota Cirebon;Pasar Kramat;90000
10777;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kota Sukabumi;Pasar Gudang;77500
10778;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kota Sukabumi;Pasar Pelita;77500
10779;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kab. Cirebon;Pasar Weru;90000
10780;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kab. Cirebon;Pasar Mundu;90000
10781;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;75000
10782;Cabai Rawit Merah;16/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;80000
10783;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kota Bekasi;Pasar Kranji;60000
10784;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;55000
10785;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kota Depok;Pasar Agung;70000
10786;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kota Depok;Pasar Cisalak;62500
10787;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;75000
10788;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;70000
10789;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;64000
10790;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;60000
10791;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kota Bogor;Pasar Anyar;55000
10792;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;70000
10793;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kota Cirebon;Pasar Kanoman;80000
10794;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kota Cirebon;Pasar Kramat;80000
10795;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kota Sukabumi;Pasar Gudang;60000
10796;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kota Sukabumi;Pasar Pelita;57500
10797;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kab. Cirebon;Pasar Weru;80000
10798;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kab. Cirebon;Pasar Mundu;80000
10799;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;67500
10800;Cabai Rawit Merah;19/04/2021;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;90000
10801;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kota Bekasi;Pasar Kranji;60000
10802;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;55000
10803;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kota Depok;Pasar Agung;65000
10804;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kota Depok;Pasar Cisalak;50000
10805;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kota Bandung;Pasar Kosambi;70000
10806;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kota Bandung;Pasar Kiara Condong;60000
10807;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;74000
10808;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;60000
10809;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kota Bogor;Pasar Anyar;55000
10810;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;70000
10811;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kota Cirebon;Pasar Kanoman;70000
10812;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kota Cirebon;Pasar Kramat;60000
10813;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kota Sukabumi;Pasar Gudang;60000
10814;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kota Sukabumi;Pasar Pelita;50000
10815;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kab. Cirebon;Pasar Weru;60000
10816;Cabai Rawit Merah;20/04/2021;Jawa Barat;Kab. Cirebon;Pasar Mundu;60000
